,text,emotion
1515,Я відчуваю розслаблення на роботі і рівень мого стану тривоги здається низьким.,joy
1516,"Я починаю відчувати жахливий настрій, що скоро мене будуть катувати глузуваннями республіканських друзів та родичів.",anger
1517,Я дивлюся на них і відчуваю нервовість.,fear
1518,Я дуже себе нещасливий.,sadness
1519,Я останнім часом почуваюся трохи перевантаженим.,fear
1520,"Я все ще вважаю, що всі ці передбачення будуть правильними, але я почуваюся дуже невпевнено стосовно Нідерландів проти Бразилії.",fear
1521,"Я почуваюся наляканим, коли ти кричиш.",fear
1522,"Я відчуваю сором, коли дивлюся у дзеркало. Я відчуваю гіркоту, бачачи, ким я став.",anger
1523,"Я почуваюся самотньо в своєму житті без когось, з ким я б дійсно міг поговорити і бути повністю собою, почуватися коханим і цінуваним.",sadness
1524,"Я відчуваю сюрприз, коли люди розмовляють зі мною про те, як я відновлююся.",surprise
1525,"Я ніколи не відчував, що він мав намір бути недобрим, я вважав ці моменти сухим почуттям гумору і, можливо, аурою стриманості, що не стимулювала мене до відкритості.",anger
1526,"Я хочу вийти з цієї кар'єри, але я почуваюся дуже нерішучим.",fear
1527,"Я почуваюся збудженим і результат не приємний, протилежний спокійному та мирному.",fear
1528,"Я почуваюся перенавантаженим, сидячи тут і оглядаючись на минулий рік свого життя.",surprise
1529,"Я відчуваю вину за те, що не маю сміливості полюбити себе.",sadness
1530,"Я відчуваю стосунок до моєї улюбленої країни та те, що я думаю про справжні можливості нашого уряду у інших сферах.",joy
1531,Я іноді відчуваю параноідальні настрої й можу раптово змінити свої емоції.,fear
1532,"Мені здається, що кожна пісня підходить для саундтреку до дуже сумного незалежного фільму.",joy
1533,"Я намагаюся підходити до цієї речі під назвою природа, що викликає у мене трохи заздрощів.",anger
1534,"Я відчуваю, що не можу втримати крок, але є ще одне приміщення галереї, що захлібує вулиці мого улюбленого Бушвіка.",joy
1535,"Я сказав йому забути це, а через годину все ще злиться і відчуваю провину, а я готуюся взятися за виготовлення чизкейку, коли я знову прочитав його текст, який казав, що він може зробити це зараз.",anger
1536,Я майже почувався дуже проклятим і огидливим.,sadness
1537,"Я плюскав її, отримуючи заявки з кожної з пакетиків, цього було достатньо, щоб вирішити, що мені насправді сподобався продукт. А потім прийшла ця маленька тюбик з іншим нічним кремом з троянди, і знову я його плюскаю та люблю.",love
1538,"Я все ще відчуваю, що я проходжу цю подорож з певної причини і хочу, щоб вона була позитивною і щоб щось хороше з того вийшло в кінці.",joy
1539,Я почуваюся пошкодженим.,sadness
1540,"Я звик використовувати дуже легкі денні креми, які дарують свіжість і заспокоєння, тому я був дуже здивований, коли спробував це вперше. ;-)",surprise
1541,"Я ретельно проаналізую цей список з нею на нашому наступному занятті, оскільки я відчуваю, що багато з наших потреб бувають засоромлені в дитинстві, і часто ми навіть не відчуваємо, що воно дозволено мати ці потреби, не кажучи вже про те, щоб просити їх, не кажучи про їх визнання та підтримку у інших людей.",sadness
1542,"Я також не люблю працювати у неділю, і через ці ставлення та практики відчуваю вплив моєї улюбленої бабусі-хрещениці Моллі.",love
1543,Я з ним відчуваю себе улюбленою та піклуються про мене майже як про справжнього улюбленця.,love
1544,"Я відчуваю біль, коли ти виявляєш таку підтримку.",love
1545,"Я не повинен бути тут, але було б добре отримати підтвердження, бо зараз я трохи малююся та не досягаю рівня хулігана.",love
1546,"Я схильний вважати, що це трохи сприяло моїй середній інтелекту та допомогло мені розуміти та відчувати речі в розумний та чутливий спосіб, особливо в сфері візуального мистецтва, але я постійно відчуваю, що все це втрачається все більше й більше.",joy
1547,"Я, як представник людства, відчуваю сумніви в собі і своєму потенціалі як потенційний кандидат на роль землі, так само, як це відбувається, коли дивлюся на місяць без космічного корабля чи костюма астронавта.",fear
1548,"Я відчуваю, що ви можете бути впевнені, що доксициклін буде ефективним.",joy
1549,йти на концерт,joy
1550,"Я почуваюся так, як відчуваю коли з'являються міра темні почуття і лякають мене до неможливості, це схоже на відкриття в дермі інфекції.",sadness
1551,"Я ніколи більше не почуваю тебе у моїх обіймах, якщо я ніколи більше не відчуватиму твого ніжного поцілунку, якщо я ніколи більше не почуватиму слова ""я тебе кохаю"" час від часу, чи я ніколи більше не полюблю тебе знову.",love
1552,"Я бачив людей, які йшли в групах, малих і великих, з сім'ями, з партнерами, з друзями, і це зробило мене відчув комусь-то жадібним.",anger
1553,"Я почуваюся досить наляканим з того факту, що наразі у мене дійсно немає великого плану, але я хочу продовжити свою місію.",fear
1554,Я відчуваю справжнє ошелешення і неусвідомленість речей.,surprise
1555,Я мав поганий день і почувався дуже розчарованим.,sadness
1556,"Я маю бути десь о {година} і я запізнився/запізнююся і буду там о {година}. Можливо, я почуватимусь напруженим/некомфортно увесь час.",sadness
1557,"Я знаю, наскільки важко висловити своє вибачення в той момент, коли ви переживаєте сильні емоції і почуваєте, що вам зробили неправду.",anger
1558,я все ще почуваюся засмученим,fear
1559,Я все ще почуваю себе дуже потрясеним через всю цю ситуацію.,fear
1560,"Я вдаюся до вирішення складного питання самостійно, і я почуваюся в захваті та здобутий успіх.",joy
1561,"Я їм шоколад або морозиво, іноді обидва, коли я почуваюся нещасно і гормонально.",sadness
1562,"Я хочу відчувати ту вагу слави, і жити своїм життям, присвяченим Ісусу і людям, яких Бог ставить на моєму шляху, а не відомим людям, яких я не знаю, або уявленим персонажам на екрані.",love
1563,"Я знаю, як це почувати себе відокремленим і німим перед життям та болем інших людей.",sadness
1564,"Я бачу його ім'я або SM Town в новинах, я відчуваю захоплення.",surprise
1565,"Я вирішив не кататися на лижах або на тубі, тому що мені не хотілося цього робити і я боявся, що вода буде занадто холодною.",fear
1566,"Я сказав їй, що, ймовірно, вона почуватиметься так, ненавидить мене, якби жила під моїм дахом, це було друге порушення.",anger
1567,"Я відчуваю, що в кожному подиху я - самозакохана дитина сонця.",love
1568,"Я вже почуваю себе таким палким, так, я йду починати кохання з книгами.",love
1569,"Я пам'ятаю почуття, коли всі ми сиділи за кухонним столом здивовані його раптовою смертю і думали, чому.",surprise
1570,Я його запитав про свій шлях і відчуваю його лагідний тиск.,love
1571,"Я відчуваю, що мій керівник викладача перевантажений і може мати забагато студентів.",surprise
1572,"я відчуваюся щедрим, отже, ось тренування з розвіювання незручних мовчань - дуже корисна навичка.",love
1573,"я відчуваю любов, коли",love
1574,"Я чуваю, що мене прийняли, і хоча sip-сумісні послуги VoIP можуть використовуватися як частина телефонної інфраструктури установи на робочому столі, і навіть на мобільних телефонах, Скайп, напевно, є безпечною популярною опцією.",love
1575,"Я все ще відчуваю її дихання поруч зі мною і знаю, що вона пам'ятає, як самовпевнено відчувати мить злету за вітром за п'ятами. Вона і я завойовуємо цей світ, наче буря. Приходь знову.",joy
1576,"Я почуваюся дуже погано, м'яко кажучи.",sadness
1577,"Я не маю наміру скаржитися, хоча у моєму житті є інші чудові аспекти, моя кар'єра сьогодні здається бути нестабільною і я почуваюся трохи збуджено через це.",fear
1578,"я хочу провести півгодини, щоб відчути підтримку від Фреда МакМюррея, мені доведеться зробити це в",joy
1579,"Я відчуваю лише невелику порцію вишкребка з гордості у втягненні філософа, це саме той непотріб, в якому ми відмінно володіємося.",sadness
1580,"Я відчуваю, що в цих місцях я можу знайти неймовірні речі.",surprise
1581,Я почуваюся таким зловісним зараз.,anger
1582,"Сьогодні я почувався дуже злобним, особливо до Майка.",anger
1583,"Я відчуваю бажання до будь-якого місця, де мене справді потребують люди.",love
1584,"Я відчуваю, що я вже приймав це раніше, але, напевно, правила були іншими.",love
1585,"Я відчуваю себе розпусною і винною і маю враження, що він використовує мене.",love
1586,Я відчуваю поклик бути більш вірним.,love
1587,"Я почуваюся дивно протягом усього тижня, оскільки мені не вдалося достатньо часто відвідувати туалет.",fear
1588,Я відчуваю тиск публікації чогось будь-що.,fear
1589,"Я відчуваю сильно, що на мені лежить відповідальність сприяти цим дарам і підтримувати їх незалежно від того, які вони можуть бути.",love
1590,"Я не зміг навіть пройти кілька хвилин у класі Джима, як почав почувати себе незатишно.",fear
1591,Я тільки що борюся з кількома речами у своєму житті і почуваюся зневажено моїми дітьми.,joy
1592,Відчуваю себе трохи безпомічним.,sadness
1593,"Я почуваю себе дуже слабкою і сумною, я дивлюся на свій шафу взуття і бачу ці [посилання].",sadness
1594,"Я не розумію, чому я почуваюся таким порожнім з натхненням, щоб написати таку нотатку в цьому блозі.",sadness
1595,"Я можу сидіти в ліжку і не почувати себе погано через це, в певному сенсі.",sadness
1596,Я відчуваю враження від спокою та краси погляду.,surprise
1597,"Я вирішую називати друзів, мені здається, що це просто дивно.",surprise
1598,"Також я мав намір брати уроки їзди на мотоциклі, але знову відчуваю невпевненість.",fear
1599,Я супроводжував родича на велосипеді.,fear
1600,"Мені здається, що твоя подружка, можливо, не дуже схвалює цю ідею.",joy
1601,"Я думаю, що частиною цього є те, що коли ви роздягаєтесь, ви не можете приховати свої почуття, ви почуваєтесь вразливими за кулісами, коли він вас оглядає. Це трохи схоже на іспит, і ви просто випадково щось вимовляєте без роздуму, тому що ви так нервуєтеся.",fear
1602,"Я почуваюся майже занадто гордо, що я можу це зробити, але більшість з моїх друзів не можуть.",anger
1603,"Я починала почувати трохи неспокійно про те, як я зможу отримати ці два долари.",fear
1604,"Я відчуваюся, немовби я дефектний.",sadness
1605,"Маючи на увазі, що моя здатність зосереджуватися на читанні і на речах, які мені нецікаві, насправді дуже короткочасна, я навіть відчуваю себе дуже гордим тим, як далеко я продовжую розвиватися.",joy
1606,"Я відчуваю огиду, здивування і найважливіше гнів від того, що я бачу.",anger
1607,Я перестаю почувати заздрість до свого брата.,anger
1608,"Я співчуваю певній справі або історії, але дивуюся, що можу зробити, щоб зробити різницю.",love
1609,я не почувався нещасливим,sadness
1610,"Я відчуваю себе бунтарськи. У мене є маленька сирна шматка, оскільки вони дуже-дуже смачні.",anger
1611,"Здається, я переборюю це, але це не означає, що я все ще не відчуваю невпевненість та нервозність, коли говорю про необхідність у вільному часі для себе або про виїзд на вечірку з дівчатами, якщо я сумніваюся, чи справді заслуговую на це.",fear
1612,Я люблю курс і як зрілий студент дуже ціную можливість вивчати нові навички і розвиватися креативно.,joy
1613,"Я почуваюся більш з викривачами на допомогу, ніж з християнами, які, мовляв, такі милинькі.",love
1614,"Я надто старався, щоб схуднути і покращити свою фізичну форму і мені йшло добре, але мені просто здається, що незалежно від того, скільки я схудну, вона буде розчарована.",sadness
1615,"Я не впевнений, з чого це почалось, але в один момент я почувався дуже злющим, що також змушувало мене почувати себе погано, тому що я думаю, що я був трохи гострим з тобою.",anger
1616,"Я перебував у обох ситуаціях - заздрив життю та дому моїх колег-блогерів, а також отримуючи повідомлення від читачів, які мають єдину думку щодо мого припущеного почуття єдності.",anger
1617,Я почув себе трохи роздратованим.,anger
1618,Я відчуваю наштовхування насильної гніву знову виходить на поверхню.,anger
1619,Мені залишається почуватись безпомічним і нічого не можу зробити.,fear
1620,"Я ненавиджу чоловіків, але також відчуваюся обманутою. Не впевнена, чи я дійсно ненавиджу чоловіків, але також відчуваюся обманутою. Завжди, з тих пір, як я себе пам'ятаю, мене постійно сміються надо мною.",anger
1621,"Я майже відчуваю, що всі ненависні речі, які були між нами, насправді ніколи не відбувалися.",anger
1622,"Я не почувався добре, коли робив свій макіяж, тому точно не знаю, що викликало той нещасний випадок, але найбільш ймовірною причиною є аварія.",joy
1623,"Я не впевнений, що знаю когось, хто насолоджується почуттям гіркоти самотно та ревнощів.",anger
1624,"Я хочу, щоб вони почували себе розваженими і сміялися, коли думають про мене.",joy
1625,"Сподіваюся, що вона не занадто хвилюється через це.",fear
1626,"Одного дня я був зайнятий мріями під час прогулянки і раптово почув звук автомобіля, який гальмував за моєю спиною. Я прокинувся з-поміж своїх мрій, і він майже зіткнувся зі мною.",fear
1627,Я відчуваю таке задоволення в приєднанні до цього табору.,joy
1628,"Я такий особистісний і, хоча я не буду говорити про щось занадто особисте, я відчуваю тривогу, пишучи це.",fear
1629,"Я відчуваю оптимізм, що вони можуть працювати добре.",joy
1630,"Я шифрую почуття, які я відчуваю на цих сторінках, в цій дивній мові, яка все ще уникає спіймання в тій глибині, що жодна клішова сонячна доріжка не зможе відтворити розкриваючийся шлях при кожному випадку.",surprise
1631,"Я сам був трохи засмучений, коли побачив, що однорічна річ несе таке велике навантаження і дає таку погану справу.",sadness
1632,Я почуваюся засмученим через крикет.,sadness
1633,"Я буду писати знову про радісні речі, але сьогодні так само я, як і у попередньому повідомленні, почуваюся переповненим.",fear
1634,"Я мушив повести її додому, тому вона була дуже обурена, тому що їй вже насичено всього цього негативу, і вона почувається такою ненависною.",anger
1635,Я відчуваю дуже багато стресу від усього і віддав би перевагу тихому відпочинку.,anger
1636,"Я повернувся до того, щоб їсти переважно так, як їли мої предки з центральної частини США: яйця на сніданок, бейгл розділені пополам з боку та курка з сиром у салаті на обід, курятина з пригорною порцією овочів на вечерю. Я почуваюся чудово.",surprise
1637,"Я ненавиджу бачити, як люди ненавидять один одного, і як і будь-хто інший, я не можу переносити почуття ненависті.",anger
1638,"Я розмовляю або про що ми говоримо найменше слово може викликати у мене подразнення до такої міри, що безпричинно викликає внутрішній гнів.",anger
1639,"Я відчуваю тиск лише їсти палео, бути вірним іншим прихильникам палео, майже не спілкуючись з непалео-прихильниками.",love
1640,"Я почуваюся, як жалюгідна тягнучка потребуюча особа, яка постійно потребує завждишньої підтримки від своїх друзів.",sadness
1641,Я просто не відчуваю запалу до цього напрямку досліджень більше.,love
1642,"Я спитав, чи вона почуває себе самотньою.",sadness
1643,"Я відчував ностальгію, слухаючи старі національні пісні до пізньої ночі.",love
1644,"Я припускаю, що місце почне ставати гучнішим і шумнішим, але ми пішли додому, не почуваючись ні як зручні особи.",joy
1645,"У мене настала одна з тих днів, коли я повністю виснажений, не можу думати чітко і відчуваю, що переповнений, навіть якщо знаю, що зможу впоратись з усім, як тільки прокинуся.",surprise
1646,Я відчуваюся настільки неймовірно благословлений мати цю можливість.,love
1647,"Я навіть не планував писати про це у своєму блозі, оскільки мені хотілося відпочити і я почував трохи стресу щодо майбутньої великої презентації на завтра.",anger
1648,"Я почуваюся трохи дивно, якщо у мене немає одного, і завжди у мене є секретний запас десь",surprise
1649,"Я на початковій лінії, зазвичай відчуваю збудження, можливо від нервів, а також трохи голодний. Залежно від довжини змагання, відчуваю, що мені потрібно більше енергії.",fear
1650,"Я можу відкрито розмовляти з ним про всі думки та почуття, які відбуваються в мені, навіть якщо деякі з них безпосередньо гнилі.",sadness
1651,я почуваюся пригнічений про це,fear
1652,Я почуваюся трохи дивно ха-ха-ха,surprise
1653,"Я не витрачав би час на секс з будь-якою людиною, але секс як фізичний вираз любові до мого улюбленого був би чудовим.",love
1654,"Я проскочив до дверей, почуваючись як смердючий школяр, що викрадає яблука чи щось подібне.",love
1655,"я не чоловік або жінка повністю, але я відчуваю, що моє емоційне, розумове і духовне Я є жіночим, хоча знаходиться в цьому житті у нетиповому чоловічому тілі, яке світ бачить і визначає як чоловіче.",sadness
1656,"Часто я задаю собі питання, що я хочу отримати від того, що я підтримую права тварин, можливо, бути правильним, можливо, почуватися вищим за інших.",joy
1657,Я відчуваю здивування і захоплення вашою силою до сих пір.,surprise
1658,"Я відчуваю, що мені слід працювати над неформальним активізмом, але це може бути потенційно напруженим, тому завтра не буде жодного оновлення.",joy
1659,"Я дуже жалкую, що я подав раніше, ніж я думав.",sadness
1660,Я відчуваю трохи каяття в цей час року.,sadness
1661,"Я почуваюся настільки остолбенілим від того, що відчуваю, тому що цього так багато, і я ще не звик до того, щоб почувати так багато одночасно.",fear
1662,"Я так і не придбав їх тіні для повік, оскільки наступного ранку мої очі почувались дуже дивно, незважаючи на ретельне зняття макіяжу.",surprise
1663,"Я не могу перестати думати про протиріччя, яке відчуваю - фізично я почуваюся фантастично, але емоційно відчуваю конфлікт.",joy
1664,"Я колись був спокійною людиною, але тепер відчуваю, що все час збуджений і роздратований.",fear
1665,"Я не впевнений, як реагувати - здивований.",surprise
1666,"Я не можу зрозуміти, що це за річ, але я відчуваю сильне збудження.",anger
1667,"Я відчуваю суперечливі почуття щодо цього, так як я не впевнений, чому він таємно викрадає аркенстоун, лише щоб добровільно його віддати.",fear
1668,Я почувався скомпрометованим і засоромленим.,sadness
1669,"Я буду повідомляти, що мій щитовидка нервувала, і Сем буде почуватися чудово, а я буду готувати фантастичну їжу без глютену для нього.",surprise
1670,"Я думаю, іноді мені просто здається, що моє життя таке трагічне.",sadness
1671,"Я почуваюся лютим на себе через це, оскільки бажаю, щоб я був іншим, спокійнішим. Я бачу, як це турбує мого чоловіка і дітей. Я бачу, як суттєво покотять очима і вираження зневаги і відсутність прийняття з їх боку до моїх почуттів.",anger
1672,"Я зараз почуваюся дуже погано, але маю показати своє обличчя на роботі, щоб не виникло підозр про мою хворобу після відпустки.",fear
1673,"Я почуваюся безвольним(ною), тому це здається проклято доброю ідеєю.",sadness
1674,я все ще почуваюся трохи приголомшеним,surprise
1675,"Я співпереживаю Тодду Бентлі, так, він бреше, але очевидно, його зловживали та маніпулювали засобами медіа-цирку та поставили на перший план.",sadness
1676,Я закінчив почуватись безпомічним та жахливим кожен день.,fear
1677,"Я почуваю, що це офіційно ставиться у шалений спринт.",anger
1678,"Я звик регулярно блогувати, і мені трохи дивно, що я цього не робив.",surprise
1679,"Я колись отримував прокляту тварину, навіть якби вона була одним разом, й коли у мене є вона, вона не буде відчуватися так, наче це було так страшно.",sadness
1680,"Мені здається, що цей дивний маленький трикутник був щось зазначене відбутися.",surprise
1681,"Я в останній час почуваюся такою злющою, що не можу терпіти людей.",anger
1682,я відчуваю любов Волта Каб-а href = http: //soggydiscobiscuit,love
1683,"Я втратив свою невинність під час менструації. Він попросив це зробити в той момент, і я погодився. Я відчуваю сексуальне збудження під час менструації.",love
1684,"Я відчуваю меншу психологічну натисненість, коли пишу.",fear
1685,"Починаю відчувати тривогу або розчарування, я нагадую собі.",fear
1686,"Я можу відчути, як він сидить на краю стільця, бажаючи мене підбадьорити і загалом хвалити.",joy
1687,"Я вже казав раніше, що цей простір в основному призначений для моїх ролей як чоловіка і батька, і служить для узагальнення моментів або подій, за якими я відчуваю належну страсть або які я можливо почую від своїх нащадків в майбутньому.",surprise
1688,"Я отримав відчуття, що вона відноситься до мене з недружелюбністю, але я не дав їй нічого, що могло б погіршити ситуацію, тому все має минути.",anger
1689,я відчуваю головокружіння і моє животик відчувається дивно,surprise
1690,"Я відчуваю, що він відіграв роль ідеально, оскільки я абсолютно ненавидів Шона Паркера як особистість у фільмі. Очевидно, я не можу судити його, оскільки насправді ніколи з ним не зустрічався.",anger
1691,Я почуваюсь і продовжую почувати себе дуже незручно багато часу.,fear
1692,"Я не міг утриматися від сміху та відчуття здивування, коли він розповів мені, що бачив мене в фільмі ""Mac and Devin Go to High School"" з Снуп Доґом і Віз Халіфа, який вийшов прямо на DVD.",surprise
1693,Я відчуваюся справді загубленим зараз.,sadness
1694,"Я відчуваю легку тривогу від ідеї американського журналіста втручатися в особистий біль японських людей і час від часу нехтувати попередженнями людей не намагатися потрапити з одного місця на інше. Можливо, це нераціонально, але воно існує.",sadness
1695,"Я почував небезпеку, подарунки і повідомлення надії.",fear
1696,Я хочу відчувати його гнів і бажання кожним ненависним ударом.,anger
1697,"Я люблю відчувати довіру, яку він отримує від мене і вірити мені, щоб допомогти йому найкращим способом дістатися до паржів.",joy
1698,"Я не впевнений, як відчувати або що думати, я просто відчуваю шок та розбите серце.",surprise
1699,"Я все ще почуваю себе трохи невпевнено прямо зараз, особливо тому, що єдиний інший сексуальний досвід, який у мене був, я не міг нічого пам'ятати, тому що мій тодішній хлопець підмішав мені щось без мого відома.",fear
1700,"Я відчуваю розчарування, що я - бідний тридцятирічний, коли люди в свої двадцять вже заробляють на тисячі доларів більше.",anger
1701,"Я так вміло розумію проходження в транс, що мені вже не потрібно формального введення, лише просте слово, коли я маю бажання йому підчинитися, може розслабити мене настільки повністю, що я ніколи не віддаляюся від чудового почуття навіть на мить.",surprise
1702,"Я справді відчуваю відразу до деяких його гидких аспектів, але мотивація Шіона в фіналі все ще заставляє мене тремтіти від огиди.",anger
1703,"Я не відчував цю емоційну пустоту, оскільки нічого з цього не було вірогідним.",sadness
1704,"Я відчуваю себе, як пропустив цю виставу.",sadness
1705,"Я хочу, щоб євреї почувалися налякані.",fear
1706,"Я почуваю, наскільки незахищений / небезпечний ви зробили мене почуватися, наскільки мені було боляче, і ви не були навіть з цього свідомі. (Note: This translation is in Ukrainian Cyrillic script. If you require the Latin script version, please let me know.)",fear
1707,"Я є надзвичайно задоволений(а) своєю роботою в мистецтві. Я повністю насолоджуюся тим, що навчаюсь і відчуваю, відчуття неймовірні.",surprise
1708,"Я почуваюся менш оптимістично на цей момент, оскільки мій справжній бета-тест відбудеться завтра, але я все ще не готовий здаватися.",joy
1709,"Я маю відчуття, що, можливо, займуся йогою і пізніше візьму довгу гарячу ванну з декількома чудовими ароматизованими солями для ванни.",love
1710,"Я покинув інтерв'ю зі смутком, але, хей, ще одна спроба, ще одне місце.",sadness
1711,"Я почуваюся більш впевнено і, коли мої японські колеги звикають до мене, я можу більш впевнено покладатися на себе, перед дошкою та в конференц-залі.",joy
1712,"Іноді я бажаю, щоб мій організм просто забував про почуття. Можливо, тоді я б міг бути таким жорстоким, які деякі люди, яких я знаю.",anger
1713,"Я курив, але мені незручно питати вголос, де для мене буде найкраще місце, щоб викинути цей фільтр.",fear
1714,"Я почуваюся зараз, ти знаєш, я почуваюся добре.",joy
1715,Я почуваюся трохи тремтливо і дійсно втраченою сьогодні.,fear
1716,"Я відчуваю, що детектив є небезпечною особою для вашого офісу щодо юридичних та політичних питань.",anger
1717,"Я відчуваю, що це відбувається через мої пісні, які виникають з найглибшого прагнення, радості, болю і торкаються тих самих місць у серцях людей, які їх слухають.",love
1718,"Я просто не хочу заморачиваться и делать что-либо, потому что я нашел новую любовь.",anger
1719,"Я думаю, що це насправді мене підсумовує, я думаю, що холодно, багато відчувають, що вони страждають, сумніваються, що це може відноситися до погоди, всюди насправді відчувається затишок і воно повне розваг.",sadness
1720,"Я відчуваю роздратування, коли бачу так багато окремих бульбашок.",anger
1721,"Я відчуваю невротичність, але наразі це не має нічого спільного з моїм письменством.",fear
1722,Я починаю хвилюватись і просто почуваюся дивно у своїй власній шкірі.,surprise
1723,"Я відчуваю, що моя місія полягає не тільки у тому стати присвяченою матір'ю для Івана і Макенни, а також підбадьорюючою, трохи дурнуватою дружиною для Раяна, але й у тому, що я призначена зробити різницю за межами наших чотирьох стін.",love
1724,"Я подумав про відчуття, що раптово охопило мене, і було приємним сюрпризом відчути себе настільки добре у громадському місці знову.",joy
1725,"Коли я був дитиною, я звичайно попереджав своїх батьків, що стаюсь обурений і наближаюся до нервового злету, кажучи їм, що в мене дивні відчуття всередині, тому що я не знав, як пояснити свої почуття і все життя мав проблеми з розумінням і аналізуванням своїх емоцій.",surprise
1726,"Я розумію, що це не буде легко, але відчуваю, що це моє призначення, і саме цьому моє серце присвячене. Я готовий йти вперед з впевненістю й волею.",love
1727,"Знаю, що це безглуздо говорити, але насправді мені подобається проводити час з ними, відчуваючи при цьому почуття спокуси. Не хвилюйся, вони ніколи не дізнаються. Я діскретний.",love
1728,відчуваю себе роздратованим a href http thewallsaretoothin,anger
1729,"Я лякаюся, я відчуваю ігнорування, я відчуваю щастя, я дурню, я застрягаю у власних словах, я задаю запитання, у мене є мрії і я все ще хочу вірити, що в цьому світі може статися що завгодно для звичайної дівчини.",sadness
1730,Я почуваюся досить спокійним та золотим зараз.,joy
1731,Я почуваюся досить роздратованим і похмурим.,anger
1732,"Я запитав, відчуваючи образу,",anger
1733,"Я знаю, що я відчуваю дещо заздрісний по відношенню до тих сімей, які вирощують курей і качок, живуть на фермах та їздять верхи на конях.",anger
1734,"Я так радий ідеї побачити свою родину і всіх своїх друзів, але сумно думати про те, що я залишу свою чудову сенегальську родину та село Мбула, які взяли мене і зробили мене прийнятим у свою спільноту.",love
